lad19cd,n
E06000001,93663.0
E06000002,140980.0
E06000003,137150.0
E06000004,197348.0
E06000005,106803.0
E06000006,129410.0
E06000007,210014.0
E06000008,149696.0
E06000009,139446.0
E06000010,259778.0
E06000011,341173.0
E06000012,159563.0
E06000013,172292.0
E06000014,210618.0
E06000015,257302.0
E06000016,354224.0
E06000017,39927.0
E06000018,332900.0
E06000019,192801.0
E06000020,179854.0
E06000021,256375.0
E06000022,193282.0
E06000023,463377.0
E06000024,215052.0
E06000025,285093.0
E06000026,262100.0
E06000027,136264.0
E06000030,222193.0
E06000031,202259.0
E06000032,213052.0
E06000033,183125.0
E06000034,174341.0
E06000035,278556.0
E06000036,122549.0
E06000037,158450.0
E06000038,161780.0
E06000039,149539.0
E06000040,151422.0
E06000041,171119.0
E06000042,269457.0
E06000043,290885.0
E06000044,214905.0
E06000045,252520.0
E06000046,141771.0
E06000047,530094.0
E06000049,384152.0
E06000050,343071.0
E06000051,323136.0
"E06000052,E06000053",571802.0
E06000054,500024.0
E06000055,173292.0
E06000056,288648.0
E06000057,322434.0
E06000058,395331.0
E06000059,378508.0
E07000004,203219.0
E07000005,96046.0
E07000006,70440.0
E07000007,174268.0
E07000008,124798.0
E07000009,89840.0
E07000010,101850.0
E07000011,177963.0
E07000012,159086.0
E07000026,97761.0
E07000027,67049.0
E07000028,108678.0
E07000029,68183.0
E07000030,53253.0
E07000031,105088.0
E07000032,128147.0
E07000033,80562.0
E07000034,104900.0
E07000035,72325.0
E07000036,115371.0
E07000037,92666.0
E07000038,101462.0
E07000039,107261.0
E07000040,146284.0
E07000041,131405.0
E07000042,82311.0
E07000043,97145.0
E07000044,87004.0
E07000045,134163.0
E07000046,68267.0
E07000047,55796.0
E07000061,103745.0
E07000062,92661.0
E07000063,103268.0
E07000064,96080.0
E07000065,161475.0
E07000066,187199.0
E07000067,152604.0
E07000068,77021.0
E07000069,90376.0
E07000070,178388.0
E07000071,194706.0
E07000072,131689.0
E07000073,87067.0
E07000074,64926.0
E07000075,87368.0
E07000076,146561.0
E07000077,91284.0
E07000078,116306.0
E07000079,89862.0
E07000080,86791.0
E07000081,129128.0
E07000082,119964.0
E07000083,95019.0
E07000084,176582.0
E07000085,122308.0
E07000086,133584.0
E07000087,116233.0
E07000088,84838.0
E07000089,97073.0
E07000090,126220.0
E07000091,180086.0
E07000092,94599.0
E07000093,126160.0
E07000094,124859.0
E07000095,97279.0
E07000096,154763.0
E07000098,104919.0
E07000099,133570.0
E07000102,93323.0
E07000103,96577.0
E07000105,130032.0
E07000106,165394.0
E07000107,112606.0
E07000108,118131.0
E07000109,106939.0
E07000110,171826.0
E07000111,120750.0
E07000112,112996.0
E07000113,150082.0
E07000114,141922.0
E07000115,132153.0
E07000116,118724.0
E07000117,88920.0
E07000118,118216.0
E07000119,80780.0
E07000120,81043.0
E07000121,146038.0
E07000122,92112.0
E07000123,143135.0
E07000124,60888.0
E07000125,71482.0
E07000126,110788.0
E07000127,114306.0
E07000128,112091.0
E07000129,101526.0
E07000130,185851.0
E07000131,93807.0
E07000132,113136.0
E07000133,51209.0
E07000134,103611.0
E07000135,57015.0
E07000136,70173.0
E07000137,141727.0
E07000138,99299.0
E07000139,116915.0
E07000140,95019.0
E07000141,142424.0
E07000142,95667.0
E07000143,139968.0
E07000144,130783.0
E07000145,99336.0
E07000146,151383.0
E07000147,104837.0
E07000148,140573.0
E07000149,140880.0
E07000150,72218.0
E07000151,85950.0
E07000152,94527.0
E07000153,101776.0
E07000154,224610.0
E07000155,94490.0
E07000156,79707.0
E07000163,57142.0
E07000164,91594.0
