date,percent
2020-05-03,0.37
2020-05-04,0.46
2020-05-05,0.46
2020-05-06,0.47
2020-05-07,0.49
2020-05-08,0.34
2020-05-09,0.41
2020-05-10,0.37
2020-05-11,0.49
2020-05-12,0.5
2020-05-13,0.53
2020-05-14,0.54
2020-05-15,0.55
2020-05-16,0.56
2020-05-17,0.54
2020-05-18,0.58
2020-05-19,0.58
2020-05-20,0.6
2020-05-21,0.59
2020-05-22,0.59
2020-05-23,0.58
2020-05-24,0.58
2020-05-25,0.5
2020-05-26,0.63
2020-05-27,0.63
2020-05-28,0.64
2020-05-29,0.66
2020-05-30,0.69
2020-05-31,0.71
2020-06-01,0.69
2020-06-02,0.69
2020-06-03,0.63
2020-06-04,0.64
2020-06-05,0.66
2020-06-06,0.66
2020-06-07,0.66
2020-06-08,0.68
2020-06-09,0.69
2020-06-10,0.66
2020-06-11,0.66
2020-06-12,0.67
2020-06-13,0.76
2020-06-14,0.77
2020-06-15,0.74
2020-06-16,0.72
2020-06-17,0.72
2020-06-18,0.69
2020-06-19,0.74
2020-06-20,0.86
2020-06-21,0.83
2020-06-22,0.77
2020-06-23,0.78
2020-06-24,0.8
2020-06-25,0.8
2020-06-26,0.78
2020-06-27,0.78
2020-06-28,0.79
2020-06-29,0.77
2020-06-30,0.77
2020-07-01,0.78
2020-07-02,0.77
2020-07-03,0.79
2020-07-04,0.84
2020-07-05,0.87
2020-07-06,0.83
2020-07-07,0.8
2020-07-08,0.79
2020-07-09,0.8
2020-07-10,0.86
2020-07-11,0.93
2020-07-12,0.99
2020-07-13,0.84
2020-07-14,0.83
2020-07-15,0.83
2020-07-16,0.85
2020-07-17,0.89
2020-07-18,0.94
2020-07-19,0.98
2020-07-20,0.88
2020-07-21,0.87
2020-07-22,0.85
2020-07-23,0.84
2020-07-24,0.9
2020-07-25,0.92
2020-07-26,1.0
2020-07-27,0.83
2020-07-28,0.86
2020-07-29,0.87
2020-07-30,0.88
2020-07-31,0.93
